,NetworkRisk
2024-12-22,
2024-12-23,
2024-12-24,
2024-12-25,
2024-12-26,
2024-12-27,
2024-12-28,
2024-12-29,
2024-12-30,
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,
2025-01-04,
2025-01-05,0.01281966295777015
2025-01-06,-0.0116391151444611
2025-01-07,0.019481018392211297
2025-01-08,-0.03598553081326245
2025-01-09,-0.011207765673388399
2025-01-10,-0.029735855686608997
2025-01-11,0.023800049473675488
2025-01-12,0.007929667974394181
2025-01-13,-0.005780997722836847
2025-01-14,0.023820441608912717
2025-01-15,0.023174767202856633
2025-01-16,0.027045408084523527
2025-01-17,0.006374403366028342
2025-01-18,0.042462523294174735
2025-01-19,0.0028205390668768204
2025-01-20,-0.05218910806547155
2025-01-21,-0.010822548297645116
2025-01-22,0.03612325354297123
2025-01-23,-0.009244226086911327
2025-01-24,-0.027075661840590737
2025-01-25,0.004301153210555391
2025-01-26,0.0030625739307100284
2025-01-27,-0.02484063258560007
2025-01-28,0.004209705203084369
2025-01-29,-0.009420088192326946
2025-01-30,0.013377757185999081
2025-01-31,-0.005980894117151199
2025-02-01,-0.021894132390983846
2025-02-02,-0.013190526095860654
2025-02-03,-0.048977537512313284
2025-02-04,0.05317945738649005
2025-02-05,-0.027159801859447403
2025-02-06,-0.03427428509454017
2025-02-07,0.0027203148015445128
2025-02-08,0.009289574007679002
2025-02-09,0.009874652359782875
2025-02-10,-0.006233951464617133
2025-02-11,0.009504169871821035
2025-02-12,-0.0013248390644483316
2025-02-13,0.007191437328530326
2025-02-14,0.0008952192649304136
2025-02-15,0.014082957079200514
2025-02-16,0.005756041772698014
2025-02-17,-0.013433161359921295
2025-02-18,-0.030293193156265177
2025-02-19,-0.00253403429261808
2025-02-20,0.004229863134822091
2025-02-21,0.005186844015951083
2025-02-22,-0.027133745139752207
2025-02-23,-0.0029073852764268
2025-02-24,-0.019204643135353902
2025-02-25,-0.03956270625870571
2025-02-26,-0.009417388415103698
2025-02-27,-0.01401505736219174
2025-02-28,0.02030115355293655
2025-03-01,0.001974604952687198
2025-03-02,0.02466915586789098
