Asset,Beta,t-stat,p-value,N
bitcoin,0.8438576495925526,10.51874133633087,8.881784197001252e-15,57
dogecoin,1.9351455534263533,13.0037583510527,0.0,57
stellar,1.5813076389783693,7.252172579526717,1.4566956529904473e-09,57
ripple,1.5757371430605567,7.425505817356789,7.57547580221285e-10,57
litecoin,1.1039616359005209,3.7230586074988836,0.0004647610506174349,57
tether,0.011239701839112671,4.281939723826436,7.485384312166943e-05,57
ethereum,0.7865613000399205,4.038517176038726,0.0001681749032562685,57
bitcoin-cash,1.1703572916029765,6.0327732573734725,1.4241654611168997e-07,57
binancecoin,0.7365496436880585,5.0687169313169,4.846259039403833e-06,57
cardano,1.2784813629118676,5.743282589613522,4.164970535125434e-07,57
tron,0.7824472464058682,4.916933809730286,8.31927080180428e-06,57
chainlink,1.3577167140766524,6.054539055190986,1.313300093119807e-07,57
weth,0.7781161054029349,4.021495559485223,0.0001778296457970452,57
usd-coin,0.0008870976159672359,1.0053274856898033,0.31914179328508174,57
