,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2025-01-01,0.1,0.2,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2025-01-02,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2025-01-03,0.1,0.2,0.1,0.2,0.2,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1
2025-01-04,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
2025-01-05,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
2025-01-06,0.1,0.1,0.1,0.2,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2025-01-07,0.1,0.1,0.1,0.2,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2025-01-08,0.5,0.1,0.1,0.2,0.1,1.0,1.0,0.1,0.1,0.1,0.1,0.1,1.0,0.1
2025-01-09,0.5,0.5,0.2,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,0.5,1.0,1.0
2025-01-10,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,0.5,1.0,1.0
2025-01-11,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,0.5,1.0,1.0
2025-01-12,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0
2025-01-13,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0
2025-01-14,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0
2025-01-15,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0
2025-01-16,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.1,1.0,1.0,1.0
2025-01-17,0.5,0.5,0.1,0.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0
2025-01-18,0.1,0.2,1.0,0.1,0.2,1.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,1.0
2025-01-19,0.1,0.1,1.0,0.1,0.5,1.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,1.0
2025-01-20,0.1,1.0,1.0,1.0,0.5,1.0,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-21,0.1,1.0,1.0,1.0,0.5,1.0,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-22,0.1,1.0,1.0,1.0,0.5,0.2,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-23,0.1,1.0,1.0,1.0,0.5,0.2,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-24,0.1,1.0,1.0,1.0,0.5,0.2,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-25,0.1,1.0,1.0,1.0,0.5,0.2,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-26,0.1,1.0,1.0,1.0,1.0,0.2,0.2,0.5,0.1,1.0,0.5,0.1,0.2,1.0
2025-01-27,0.1,1.0,1.0,1.0,1.0,0.2,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-28,0.1,1.0,1.0,1.0,1.0,0.2,0.1,0.5,0.1,1.0,0.5,0.1,0.1,1.0
2025-01-29,0.1,1.0,1.0,1.0,0.1,1.0,0.1,0.5,0.2,1.0,0.5,0.2,0.1,1.0
2025-01-30,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0
2025-01-31,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0
2025-02-01,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.5
2025-02-02,0.1,0.2,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5
2025-02-03,0.1,1.0,0.5,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2025-02-04,0.1,1.0,0.5,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2025-02-05,0.1,1.0,0.5,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2025-02-06,0.1,1.0,0.5,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2025-02-07,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5
2025-02-08,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0
2025-02-09,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-02-10,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
