Asset,Beta,t-stat,p-value,N
bitcoin,-0.2077123273530513,-3.542848385048693,0.0005504291977185272,132
dogecoin,-0.6894325905556077,-5.271072549159073,5.485495013779484e-07,132
stellar,-0.2272367286928306,-1.1585224811977641,0.2487746842128613,132
ripple,-0.23912241632908984,-1.643625996917556,0.10266986167907333,132
litecoin,-0.21509930402971833,-1.6581904365186513,0.09969008303850724,132
tether,-0.0018432117585064287,-0.8862108997466914,0.3771403137386291,132
ethereum,-0.14751387152588813,-1.6681141671311834,0.0977000224256197,132
bitcoin-cash,-0.2964070930023937,-2.8930719158061864,0.004474452841806809,132
binancecoin,0.019745189385556295,0.2798122465502219,0.7800662812710704,132
cardano,-0.4557991173906836,-3.4049136577294257,0.0008806880090037605,132
tron,0.3073949381419185,1.8481866227532693,0.0668478114871387,132
chainlink,-0.31884244744297124,-2.248921576097882,0.02620020101053777,132
weth,-0.1531450289597483,-1.735702526141185,0.0849859217546749,132
usd-coin,0.00048357699946685514,0.23516367732473914,0.8144517260349402,132
