,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2024-10-03,0.5,0.5,1.0,0.5,0.1,0.1,0.5,0.1,1.0,1.0,0.1,0.1,0.5,0.1
2024-10-04,0.5,1.0,1.0,0.5,0.1,0.5,0.5,0.5,1.0,0.5,1.0,0.1,0.5,1.0
2024-10-05,0.5,1.0,1.0,0.5,0.1,0.5,0.5,0.5,1.0,0.5,1.0,0.1,0.5,1.0
2024-10-06,1.0,1.0,0.1,1.0,0.1,0.5,1.0,0.5,1.0,0.5,0.1,1.0,1.0,1.0
2024-10-07,0.1,0.5,1.0,1.0,1.0,0.5,0.5,0.1,1.0,0.5,1.0,0.1,0.5,1.0
2024-10-08,1.0,0.5,0.1,0.1,0.1,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0
2024-10-09,1.0,0.5,0.5,1.0,1.0,0.5,0.1,0.1,1.0,0.1,1.0,0.5,0.1,0.5
2024-10-10,1.0,0.5,0.5,1.0,1.0,0.5,0.1,0.1,1.0,1.0,1.0,0.5,0.1,0.5
2024-10-11,1.0,1.0,0.1,1.0,1.0,1.0,0.1,0.1,1.0,1.0,1.0,0.5,0.1,0.5
2024-10-12,0.5,1.0,0.5,0.1,1.0,0.5,0.1,0.1,1.0,1.0,1.0,0.5,0.1,0.5
2024-10-13,1.0,1.0,0.5,0.1,1.0,0.5,1.0,0.1,1.0,1.0,0.1,0.5,0.1,0.5
2024-10-14,1.0,1.0,0.5,0.1,1.0,0.5,0.1,0.1,1.0,0.1,0.5,0.1,0.1,0.5
2024-10-15,0.5,1.0,0.5,0.1,0.1,1.0,0.1,1.0,1.0,0.5,0.5,1.0,0.1,0.5
2024-10-16,0.5,1.0,0.5,0.5,0.5,0.1,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5
2024-10-17,1.0,1.0,0.5,1.0,1.0,0.1,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.1
2024-10-18,1.0,1.0,0.5,1.0,1.0,0.1,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.1
2024-10-19,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.1
2024-10-20,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5
2024-10-21,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.1
2024-10-22,1.0,1.0,1.0,0.1,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0
2024-10-23,0.5,1.0,0.1,0.1,0.5,0.5,0.1,0.5,0.1,0.5,0.5,0.5,0.1,1.0
2024-10-24,0.5,1.0,0.1,0.1,0.5,1.0,0.5,0.5,0.1,0.5,0.5,1.0,0.5,1.0
2024-10-25,0.1,1.0,0.1,0.1,0.5,1.0,0.5,0.5,0.1,0.5,0.5,0.5,0.5,1.0
2024-10-26,0.1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0
2024-10-27,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0
2024-10-28,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0
2024-10-29,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0
2024-10-30,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.1
2024-10-31,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.1,0.5,1.0,0.1,0.5,0.1
2024-11-01,0.1,1.0,0.1,0.5,0.5,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.1,1.0
2024-11-02,0.1,1.0,0.1,0.5,0.1,0.5,0.5,1.0,0.1,0.5,1.0,0.1,0.5,1.0
2024-11-03,0.1,1.0,0.1,1.0,0.1,1.0,1.0,1.0,0.1,0.5,1.0,0.1,0.5,0.5
2024-11-04,0.1,1.0,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.5,1.0,0.1,0.5,0.5
2024-11-05,0.1,1.0,0.1,0.5,1.0,1.0,1.0,1.0,0.1,0.5,1.0,0.1,0.5,0.5
2024-11-06,0.5,0.5,0.1,0.5,1.0,1.0,1.0,1.0,0.1,0.5,1.0,0.1,0.5,0.5
2024-11-07,0.5,1.0,1.0,0.1,0.5,0.1,1.0,0.1,1.0,0.5,1.0,0.1,1.0,0.1
2024-11-08,0.1,1.0,1.0,0.1,0.5,0.1,1.0,0.1,0.5,0.5,1.0,0.1,1.0,0.1
2024-11-09,0.1,1.0,0.5,1.0,1.0,0.1,1.0,1.0,0.1,0.5,1.0,1.0,1.0,0.1
2024-11-10,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.1
2024-11-11,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.1
2024-11-12,1.0,1.0,0.5,1.0,0.1,1.0,1.0,0.5,1.0,0.5,0.1,0.5,1.0,0.1
2024-11-13,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0
2024-11-14,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.5,0.5,0.5,0.1,0.5,1.0,1.0
2024-11-15,0.5,1.0,0.5,1.0,0.1,1.0,1.0,0.5,0.1,1.0,0.5,0.1,1.0,1.0
2024-11-16,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0,0.1,0.5,0.1,1.0,1.0,1.0
2024-11-17,0.5,0.5,0.1,1.0,0.1,0.5,1.0,1.0,0.1,1.0,0.5,1.0,1.0,0.5
2024-11-18,0.5,1.0,0.1,1.0,0.1,0.5,1.0,0.5,0.1,0.5,0.1,1.0,1.0,0.5
2024-11-19,0.5,1.0,0.1,1.0,0.1,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5
2024-11-20,1.0,0.5,0.1,1.0,0.1,0.5,1.0,0.5,0.1,0.1,1.0,1.0,1.0,0.5
2024-11-21,1.0,0.5,0.5,1.0,0.5,0.1,0.1,1.0,0.1,0.1,0.5,0.5,1.0,0.5
2024-11-22,0.1,0.1,0.5,1.0,1.0,0.1,0.1,0.5,0.1,0.5,1.0,0.5,0.1,0.5
2024-11-23,1.0,0.1,0.5,0.5,0.5,0.1,0.1,1.0,0.1,1.0,1.0,1.0,0.5,0.5
2024-11-24,0.1,0.1,0.5,1.0,1.0,0.1,0.1,1.0,0.1,1.0,1.0,1.0,0.5,0.5
2024-11-25,0.1,0.1,0.5,1.0,0.1,1.0,1.0,0.1,0.5,0.1,1.0,1.0,1.0,0.5
2024-11-26,0.5,1.0,0.1,1.0,0.1,1.0,1.0,0.5,0.5,0.1,1.0,1.0,1.0,0.5
2024-11-27,0.5,1.0,0.1,1.0,0.1,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.1
2024-11-28,0.5,0.5,0.5,1.0,0.1,1.0,0.5,0.5,1.0,1.0,0.1,1.0,0.5,0.1
2024-11-29,0.5,1.0,0.5,1.0,0.1,0.1,0.1,0.5,1.0,1.0,0.1,1.0,0.1,0.1
2024-11-30,1.0,0.5,0.1,1.0,1.0,0.5,0.1,0.5,1.0,1.0,0.1,1.0,0.1,0.5
2024-12-01,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
2024-12-02,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
2024-12-03,0.5,0.1,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.1,0.1,0.1,1.0,0.1
2024-12-04,1.0,1.0,1.0,0.5,0.1,1.0,1.0,0.5,1.0,0.1,0.1,0.1,1.0,0.1
2024-12-05,1.0,1.0,1.0,0.5,1.0,1.0,0.1,0.1,1.0,0.1,0.1,0.1,1.0,0.1
2024-12-06,1.0,0.5,1.0,0.5,0.1,1.0,0.1,0.5,1.0,0.1,0.1,0.1,0.1,0.1
2024-12-07,1.0,0.5,1.0,1.0,0.1,1.0,0.1,0.5,1.0,0.1,0.5,0.1,0.1,0.1
2024-12-08,1.0,0.5,1.0,1.0,0.5,1.0,0.1,0.5,1.0,0.1,0.5,0.1,0.1,0.1
2024-12-09,0.1,1.0,1.0,1.0,0.1,1.0,0.1,0.5,1.0,0.1,0.5,0.1,0.1,0.1
2024-12-10,0.5,0.1,1.0,1.0,1.0,1.0,0.1,0.1,0.5,0.5,0.5,1.0,0.5,1.0
2024-12-11,0.5,0.5,1.0,0.1,1.0,0.5,0.1,0.1,1.0,0.5,0.5,0.5,0.5,1.0
2024-12-12,0.5,0.5,1.0,0.1,1.0,1.0,1.0,0.1,1.0,0.5,1.0,0.5,0.5,1.0
