Asset,Beta,t-stat,p-value,N
bitcoin,0.6332643676884181,13.101975234637889,0.0,132
dogecoin,1.7950822161843967,25.196213688316977,0.0,132
stellar,0.922457141813004,4.1521287099939705,5.921841854350518e-05,132
ripple,0.7886417620129625,4.863958868872837,3.2667369986860706e-06,132
litecoin,0.6098460460277884,4.1254771520962406,6.561446952679795e-05,132
tether,0.006576493083978285,2.7014444876858352,0.007824585208605406,132
ethereum,0.4302756577969011,4.289124675043264,3.471069112936931e-05,132
bitcoin-cash,0.7641494133403305,7.101990864701719,7.207168195577651e-11,132
binancecoin,0.3653768636465133,4.663268044620853,7.617937330950397e-06,132
cardano,0.9718462531185956,6.7375986412377875,4.718814228255042e-10,132
tron,0.3406176494914144,1.7043973967224202,0.09069576026625992,132
chainlink,0.619722564744768,3.7659986047011134,0.00025030010109516887,132
weth,0.42634104403456363,4.251162293632351,4.02953293503483e-05,132
usd-coin,0.002005539838248485,0.8151513304807094,0.4164765876124097,132
