,NetworkRisk
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-09,
2019-03-10,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-16,
2019-03-17,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-23,
2019-03-24,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-03-30,
2019-03-31,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-06,
2019-04-07,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-13,
2019-04-14,
2019-04-15,-0.0005847653691075996
2019-04-16,-0.0015692724347543471
2019-04-17,-0.0010207300381807512
2019-04-18,0.006894327855242351
2019-04-19,0.036625088407099
2019-04-20,0.0022216168148348515
2019-04-21,0.015563653850734601
2019-04-22,-0.003021463719482753
2019-04-23,-0.021240412340935398
2019-04-24,0.04490299860527905
2019-04-25,-0.030809546294919898
2019-04-26,-0.000366570613779052
2019-04-27,0.00863727248858305
2019-04-28,-0.0011751789056634997
2019-04-29,0.006314296993430999
2019-04-30,-0.0157328536467665
2019-05-01,0.005426820650015901
2019-05-02,0.00454897479526035
2019-05-03,0.0152366300024382
2019-05-04,0.028113056526963647
2019-05-05,0.0193318572521619
2019-05-06,-0.005181569596069949
2019-05-07,-0.0554160531608464
2019-05-08,0.006092043582527849
2019-05-09,0.025027215649666097
2019-05-10,0.010261401744804048
2019-05-11,0.0209930576179903
2019-05-12,0.06566570502443189
2019-05-13,-0.04777040734184925
2019-05-14,0.0729300117770213
2019-05-15,0.011733241143288352
2019-05-16,-0.012262443822663407
2019-05-17,-0.0831004503082341
2019-05-18,-0.036471717653677155
2019-05-19,0.016031065206621897
2019-05-20,0.048673646132709
2019-05-21,-0.014718709132083344
2019-05-22,0.004955946963510248
2019-05-23,-0.0206583676396351
2019-05-24,0.0018300935636908992
2019-05-25,0.0185349787989624
2019-05-26,-0.01157464195345855
2019-05-27,0.033086962787812556
2019-05-28,0.005636765996242948
