Asset,Beta,t-stat,p-value,N
bitcoin,0.3515935112253155,18.128956656745146,0.0,2149
dogecoin,1.6244786994983988,67.78999592467567,0.0,2149
stellar,0.3230297971551853,10.448056421949468,0.0,2149
ripple,0.25595540320718935,8.006489834872026,1.7763568394002505e-15,2149
litecoin,0.3369373190584803,11.841526883617224,0.0,2149
tether,0.0015095384897777936,1.1022222092251313,0.27048861837952565,2149
ethereum,0.21724027040829463,8.249478370687564,2.220446049250313e-16,2149
bitcoin-cash,0.359834581148372,11.600104584846129,0.0,2149
binancecoin,0.21628223548086997,7.80805497226782,8.881784197001252e-15,2149
cardano,0.33282404075719985,11.127752504217137,0.0,2149
tron,0.24820116978556478,8.839581692953766,0.0,2149
chainlink,0.3131845868110926,8.878195349560897,0.0,2149
weth,0.19747484349406047,7.4436162385363,1.4099832412739488e-13,2149
usd-coin,-0.0022230753959936265,-1.411360471213217,0.15828324498828517,2149
